date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	comment	replay
15/08 09:03	140	33	55182795	Aleks	398939	Аль Авг Сор Ами Аст Крв	350695	Аль(10154) Фен(10154)  ###  Акс(5087) Оли(11064)		https://www.hero-wars.com?replay_id=1755237781172249340	
15/08 09:02	140	33	55182795	Aleks	408252	Аль Дже Дор Лар Йор К'А	298471	Каи(10154) Акс(5087) Мер(2766) Оли(11064) Фен(10154)		https://www.hero-wars.com?replay_id=1755237765839562303	
15/08 09:02	140	33	55182795	Aleks	412892	Аль Аст Ори Мод Мор Тес	320210	Фен(10154) Акс(5087) Мер(2766)  ###  Оли(11064)		https://www.hero-wars.com?replay_id=1755237752024038584	
15/08 09:02	140	33	55182795	Aleks	556486	Аль Баб Джу Айз Ясм Лир	1474184	Оли(11064) Фен(10154) Акс(5087) Каи(10154)  ### 		https://www.hero-wars.com?replay_id=1755237735829187495	
15/08 09:01	140	33	55182795	Aleks	968798	Аль Фаф Хай Себ Неб Дан	2750960	Оли(11064) Акс(5087) Аль(10154) Каи(10154) Фен(10154)		https://www.hero-wars.com?replay_id=1755237717595153812	
15/08 09:01	140	33	55188290	Виларт	504167	Хор Себ Неб Джу Лир Тес	179168	 ###  Каи(3973) Аль(4123)  ###   ### 		https://www.hero-wars.com?replay_id=1755237687632668934	
15/08 08:59	140	33	55188290	Виларт	379672	Акс Баб Пол Йор Чер Аст	75320	 ###  Хор(10154)  ###   ###  Акс(10154)		https://www.hero-wars.com?replay_id=1755237564334726453	
15/08 08:58	140	33	55188290	Виларт	1045975	Акс Гел Дор Авг Ори Авр	9869100	Хор(10154)  ###  Аль(4123) Акс(10154) Мер(4536)		https://www.hero-wars.com?replay_id=1755237526121739658	
15/08 08:56	140	33	61467909	Fire_Snake	414407	Аль Гел Пол Без Суд Гал	505942	Акс(3123) Бис(2877) Мер(3393) Оли(3393) Аль(10154)		https://www.hero-wars.com?replay_id=1755237399605417110	
15/08 08:53	140	33	61467909	Fire_Snake	570228	Аль Тея Дор Фол Эль Авр	1122996	Мар(2540) Акс(3123) Мер(3393) Фен(6244) Каи(7896)		https://www.hero-wars.com?replay_id=1755237223387870176	
15/08 08:48	140	33	61467909	Fire_Snake	597958	Аль Фаф Дже Хай Дан Аст	928284	Оли(3393) Акс(3123) Аль(10154) Каи(7896) Бис(2877)		https://www.hero-wars.com?replay_id=1755236922632452689	
15/08 08:44	140	33	61467909	Fire_Snake	664222	Аль Эйд Себ Гус Ясм Лир	4472231	Мер(3393) Оли(3393) Акс(3123) Аль(10154) Фен(6244)		https://www.hero-wars.com?replay_id=1755236697753679685	
15/08 08:40	140	33	61467909	Fire_Snake	626267	Аль Баб Авг Ори Неб Чер	969716	Оли(3393) Аль(10154) Мер(3393) Каи(7896) Фен(6244)		https://www.hero-wars.com?replay_id=1755236422031829279	
15/08 08:13	140	33	61465257	The BIG	395106	Аль Дже Крн Йор Май Три	437313	Оли(6664) Акс(5902)  ###  Аль(8922) Фен(5456)		https://www.hero-wars.com?replay_id=1755234810142180142	
15/08 08:13	140	33	61465257	The BIG	448105	Аль Тея Без Эйд Авг Мор	450524	Мар(3633) Акс(5902) Аль(8922) Хор(5760) Оли(6664)		https://www.hero-wars.com?replay_id=1755234800188911374	
15/08 08:12	140	33	61465257	The BIG	500170	Аль Ори Айз Гус Лир Кей	1459453	Хор(5760) Оли(6664) Акс(5902) Фен(5456) Аль(8922)		https://www.hero-wars.com?replay_id=1755234778596724063	
15/08 08:12	140	33	61465257	The BIG	726770	Аль Сел Дан Ара Чер Ясм	2261532	Акс(5902) Каи(5760) Мар(3633) Оли(6664) Аль(8922)		https://www.hero-wars.com?replay_id=1755234768221746280	
15/08 08:12	140	33	61465257	The BIG	918866	Аль Баб Себ Неб Джу Гал	3714397	Акс(5902) Аль(8922) Каи(5760) Век(5847) Оли(6664)		https://www.hero-wars.com?replay_id=1755234754367624987	
15/08 08:02	140	33	61430370	Тема	748284	Аль Себ Дан Ара Ясм Авр	1374101	Оли(4123) Каи(4123) Мар(967) Аль(9428) Акс(7596)		https://www.hero-wars.com?replay_id=1755234135883193899	
15/08 08:00	140	33	61430370	Тема	692776	Аль Тея Мор Кир Лир Крв	5762429	Мер(3973) Акс(7596) Фен(2313) Оли(4123) Аль(9428)		https://www.hero-wars.com?replay_id=1755234026479895320	
15/08 07:59	140	33	61420263	Юрий	898966	Акс Тея Ори Сел Ара Чер	5681485	Мар(5766) Мер(5116) Акс(9504) Аль(5116) Оли(4735)		https://www.hero-wars.com?replay_id=1755233954366115102	
15/08 07:58	140	33	61420263	Юрий	714870	Акс Баб Себ Неб Джу Айз	1236552	Оли(4735) Аль(5116) Каи(5116) Век(5116) Акс(9504)		https://www.hero-wars.com?replay_id=1755233902226950926	
15/08 07:55	140	33	61420263	Юрий	490124	Акс Фол Хай Дан Лир Авр	637571	Мер(5116) Акс(9504) Каи(5116) Оли(4735) Бис(3763)		https://www.hero-wars.com?replay_id=1755233746846212032	
15/08 07:54	140	33	61420263	Юрий	445956	Акс Дор Авг Лар Кри Руф	169304	Мер(5116) Аль(5116) Мар(5766) Хор(4756) Акс(9504)		https://www.hero-wars.com?replay_id=1755233690293463792	
15/08 07:53	140	33	61420263	Юрий	409100	Акс Дже Айр Эйд Ами Гус	706818	Акс(9504) Бис(3763) Аль(5116) Оли(4735) Хор(4756)		https://www.hero-wars.com?replay_id=1755233603164950232	
15/08 07:47	140	33	61462867	Dark Side	864840	Аль Баб Авг Ори Неб Крв	10941468	Акс(9461) Аль(6676) Мер(4773) Каи(11064) Оли(8346)		https://www.hero-wars.com?replay_id=1755233270183491359	
15/08 07:01	140	33	61357137	Оди	410399	Аль Авг Ори Йор Мор Исм	350146	Аль(9428) Хор(9428) Оли(6949) Акс(9428) Мар(6949)		https://www.hero-wars.com?replay_id=1755230493712886913	
15/08 07:00	140	33	61357137	Оди	458798	Аль Тея Крн Ара Ясм Тес	654694	Акс(9428) Бис(6949) Мар(6949) Аль(9428) Оли(6949)		https://www.hero-wars.com?replay_id=1755230429197210173	
15/08 06:59	140	33	61357137	Оди	685080	Аль Пол Дор Чер Лир Авр	1979546	Мар(6949) Мер(4043) Оли(6949) Фен(7804) Каи(6949)		https://www.hero-wars.com?replay_id=1755230355177496791	
15/08 06:57	140	33	61357137	Оди	942894	Аль Эйд Себ Джу Айз Цин	1968455	Хор(9428) Аль(9428) Век(3260) Оли(6949) Фен(7804)		https://www.hero-wars.com?replay_id=1755230261458940707	
15/08 06:32	140	33	61406417	Tanin	1120330	Аль Баб Фоб Мор Лир Крв	11535774	Акс(10154) Хор(4773) Оли(10154) Фен(4123) Аль(10154)		https://www.hero-wars.com?replay_id=1755228725165075432	
15/08 06:30	140	33	61406417	Tanin	1051530	Аль Дже Себ Неб Джу Дан	1848088	Акс(10154) Оли(10154) Каи(8518) Аль(10154) Фен(4123)		https://www.hero-wars.com?replay_id=1755228631595000727	
15/08 06:15	140	33	61411830	Rom	350892	Аль Фаф Тея Хай Аст Крв	461059	Мар(5419) Акс(5766) Каи(11064) Оли(4773) Аль(5766)		https://www.hero-wars.com?replay_id=1755227735977136481	
15/08 06:15	140	33	61411830	Rom	463183	Оли Гел Себ Ами Ара Руф	344940	Хор(8518) Аль(5766) Оли(4773) Мар(5419) Акс(5766)		https://www.hero-wars.com?replay_id=1755227709208401221	
15/08 06:13	140	33	61411830	Rom	807629	Аль Джу Айз Сел Дан Авр	2594990	Аль(5766) Мар(5419) Акс(5766) Фен(4123) Каи(11064)		https://www.hero-wars.com?replay_id=1755227595449104866	
15/08 06:11	140	33	61411830	Rom	427372	Аль Айр Фол Гус Чер Лир	659683	Аль(5766) Акс(5766) Хор(8518) Фен(4123) Оли(4773)		https://www.hero-wars.com?replay_id=1755227479878907752	
