date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	replay
04/07 07:21	140	27	61357137	Оди	408342	Акс Тея Сел Чер Ясм Лир	580482	Мар(6949) Акс(6949) Фен(7804) Аль(9018) Оли(6949)	https://www.hero-wars.com?replay_id=1751602866058393625	
04/07 07:19	140	27	61357137	Оди	548863	Акс Пол Дор Авг Ори Авр	874795	Мар(6949) Акс(6949) Аль(9018) Бис(6949) Оли(6949)	https://www.hero-wars.com?replay_id=1751602769136418834	
04/07 07:17	140	27	61357137	Оди	778752	Аль Эйд Себ Джу Айз Цин	2295012	Хор(6949) Фен(7804) Аль(9018) Оли(6949) Каи(6949)	https://www.hero-wars.com?replay_id=1751602661768910665	
04/07 07:14	140	27	61357137	Оди	1034575	Аль Баб Хай Неб Ами Руф	20582010	Оли(6949) Аль(9018) Каи(6949) Акс(6949) Бис(6949)	https://www.hero-wars.com?replay_id=1751602471356884988	
04/07 07:13	140	27	61411830	Rom	306575	Аль Пол Эйд Ами Ара Тес	332953	Мар(4773) Хор(6244) Акс(5417) Аль(5116) Оли(4123)	https://www.hero-wars.com?replay_id=1751602398760164282	
04/07 07:13	140	27	61411830	Rom	388469	Аль Фаф Айр Айз Лир Руф	671116	Мар(4773) Аль(5116) Акс(5417) Фен(4123) Оли(4123)	https://www.hero-wars.com?replay_id=1751602380839288301	
04/07 07:12	140	27	61411830	Rom	523309	Аль Гел Тея Фол Дан Чер	486243	Хор(6244) Акс(5417) Мер(4123) Каи(10154) Фен(4123)	https://www.hero-wars.com?replay_id=1751602322173730325	
04/07 07:10	140	27	61411830	Rom	601220	Аль Баб Хай Себ Джу Авр	2087803	Оли(4123) Акс(5417) Аль(5116) Фен(4123) Каи(10154)	https://www.hero-wars.com?replay_id=1751602234507213039	
04/07 07:07	140	27	61411830	Rom	689186	Аль Дор Авг Ори Неб Сел	7096955	 ###  Аль(5116) Мер(4123) Каи(10154) Акс(5417)	https://www.hero-wars.com?replay_id=1751602065021960160	
04/07 06:47	140	27	61351954	XAM	213326	Аль Тея Без Йор Джу Исм	172562	Мер(2972) Акс(3187) Оли(3187) Фен(3837) Мар(1206)	https://www.hero-wars.com?replay_id=1751600879435918564	
04/07 06:47	140	27	61351954	XAM	459741	Каи Фаф Дже Айр Руф Тес	1044066	Мар(1206) Каи(10154) Оли(3187) Аль(3187) Фен(3837)	https://www.hero-wars.com?replay_id=1751600823972439589	
04/07 06:46	140	27	61420263	Юрий	853867	Акс Тея Ори Сел Ара Чер	5418401	Мар(4756) Мер(5116) Акс(8554) Аль(5116) Оли(3763)	https://www.hero-wars.com?replay_id=1751600801919699331	
04/07 06:46	140	27	61351954	XAM	450002	Аль Авг Ори Сел Дан Ясм	583675	Аль(3187) Мер(2972) Акс(3187) Каи(10154) Фен(3837)	https://www.hero-wars.com?replay_id=1751600791766643673	
04/07 06:46	140	27	61420263	Юрий	629683	Акс Баб Себ Неб Джу Айз	1359515	Акс(8554) Аль(5116) Каи(5116) Век(4756) Оли(3763)	https://www.hero-wars.com?replay_id=1751600777200364586	
04/07 06:45	140	27	61420263	Юрий	440538	Акс Авг Фол Дан Лир Авр	134403	Акс(8554) Мер(5116) Каи(5116) Оли(3763) Бис(3079)	https://www.hero-wars.com?replay_id=1751600752799237271	
04/07 06:45	140	27	61420263	Юрий	409342	Акс Эйд Лар Хай Кри Руф	153030	Аль(5116) Мар(4756) Каи(5116) Мер(5116) Акс(8554)	https://www.hero-wars.com?replay_id=1751600731103623562	
04/07 06:45	140	27	61420263	Юрий	344205	Акс Дже Дор Без Айр Кай	4121	Каи(5116)  ###  Акс(8554) Аль(5116) Мер(5116)	https://www.hero-wars.com?replay_id=1751600701627490887	
04/07 06:44	140	27	61351954	XAM	308708	Акс Крн Себ Айз Ами Чер	27695	 ###  Фен(3837) Акс(3187) Оли(3187) Бис(1219)	https://www.hero-wars.com?replay_id=1751600657552461904	
04/07 06:42	140	27	61351954	XAM	588525	Аль Баб Дор Хай Мод Неб	5896070	Оли(3187) Акс(3187) Аль(3187) Мер(2972) Каи(10154)	https://www.hero-wars.com?replay_id=1751600560386740218	
04/07 06:00	140	27	61427273	Santa	382547	Аль Эйд Аст Авг Йор Гал	480065	Аль(9504) Мар(4123) Хор(4547) Оли(4503) Фен(5834)	https://www.hero-wars.com?replay_id=1751598026590830204	
04/07 06:00	140	27	61427273	Santa	425064	Аль Крн Фол Дан Аст Авр	472294	Акс(4123) Хор(4547) Фен(5834) Бис(4123) Оли(4503)	https://www.hero-wars.com?replay_id=1751598013922370330	
04/07 05:59	140	27	61427273	Santa	619246	Аль Баб Фоб Себ Кир Лир	1236350	Акс(4123) Хор(4547) Фен(5834) Аль(9504) Оли(4503)	https://www.hero-wars.com?replay_id=1751597981904970413	
04/07 05:58	140	27	61427273	Santa	799395	Аль Тея Неб Мор Ара Крв	8195309	Мер(4383) Каи(3277) Оли(4503) Мар(4123) Аль(9504)	https://www.hero-wars.com?replay_id=1751597929859107325	
04/07 05:58	140	27	61427273	Santa	759931	Аль Дор Ори Хай Сел Суд	11688053	Акс(4123) Мар(4123) Аль(9504) Мер(4383) Хор(4547)	https://www.hero-wars.com?replay_id=1751597885336954768	
04/07 05:39	140	27	61465257	The BIG	379415	Аль Без Авг Фол Хай Ами	521377	Акс(5203) Хор(5030) Мер(3223) Аль(6649) Оли(4979)	https://www.hero-wars.com?replay_id=1751596758951753907	
04/07 05:39	140	27	61465257	The BIG	418121	Аль Тея Эйд Ори Айз Кей	622321	Мар(3633) Хор(5030) Мер(3223) Акс(5203) Аль(6649)	https://www.hero-wars.com?replay_id=1751596748253920497	
04/07 05:38	140	27	61465257	The BIG	390349	Аль Дже Мор Кир Лир Крв	360305	Каи(5760) Акс(5203) Аль(6649) Фен(4143) Оли(4979)	https://www.hero-wars.com?replay_id=1751596736948963981	
04/07 05:38	140	27	61465257	The BIG	666706	Аль Сел Дан Ара Чер Ясм	1483057	Акс(5203) Фен(4143) Мар(3633) Оли(4979) Каи(5760)	https://www.hero-wars.com?replay_id=1751596709050947295	
04/07 05:37	140	27	61465257	The BIG	700186	Аль Баб Себ Неб Джу Гал	2735043	Акс(5203) Аль(6649) Каи(5760) Век(5247) Оли(4979)	https://www.hero-wars.com?replay_id=1751596664196314764	
