Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Эйден | Красный +2 | 6 stars | 130 | 169873,987484,3826469,492511,Альбус | 8518,,Амира | Красный +2 | 6 stars | 130 | 149343,3995389,415303,0,
,,,Август | Красный +2 | 6 stars | 130 | 155403,970413,519246,0,Хорус | 6894,,Хайди | Красный +2 | 6 stars | 130 | 180391,2359997,219976,0,Бисквит | 11064
,,,Каскад | Красный +2 | 6 stars | 130 | 133835,596739,411777,0,Аксель | 10154,,Август | Красный +2 | 6 stars | 130 | 152479,1759947,422766,0,Хорус | 11064
,,,Руфус | Красный +2 | 6 stars | 130 | 184335,118856,3826469,1602603,Оливер | 8518,,Руфус | Красный +2 | 6 stars | 130 | 121699,345814,2100449,1694081,
,,,Айзек | Красный +2 | 6 stars | 130 | 125228,52056,341109,0,Мара | 7804,,Небула | Красный +2 | 6 stars | 130 | 167311,5617,523031,86143,
,,,Альбус | Фиолетовый +3 | 5 stars | 130 | 144927,955977,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,458306,0,0,

Башня Алхимии (Позиция 5),Победа,+7,Ваван (130-866391),,,,,,AKATUKI (130-953166),Увеличение брони (48%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Данте | Красный +2 | 6 stars | 130 | 197003,245572,44130,0,Каин | 8518,,Хайди | Красный +2 | 6 stars | 130 | 180391,285361,43324,0,Бисквит | 11064
,,,Джу | Красный +2 | 6 stars | 130 | 148607,125732,166214,0,Фенрис | 6894,,Руфус | Красный +2 | 6 stars | 130 | 121699,4924,368425,0,
,,,Хайди | Красный +2 | 6 stars | 130 | 108621,47681,0,0,Альбус | 8518,,Амира | Красный +2 | 6 stars | 130 | 149343,0,0,0,
,,,Исмаил | Красный +2 | 6 stars | 130 | 119330,45248,157895,0,Оливер | 8518,,Небула | Красный +2 | 6 stars | 130 | 167311,0,0,0,
,,,Гус | Красный +2 | 6 stars | 130 | 147903,0,44130,57493,Аксель | 10154,,Август | Красный +2 | 6 stars | 130 | 152479,0,0,0,Хорус | 11064
,,,Оливер | Фиолетовый +3 | 5 stars | 130 | 144927,0,0,19549,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,69600,0,0,

Башня Алхимии (Позиция 4),Победа,+35,Оди (130-927907),,,,,,Erwin (130-1060350),Увеличение брони (48%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 174608,2029331,95787,95787,Мерлин | 7804,,Электра фон Грейв | Красный +2 | 6 stars | 130 | 163914,515742,3723247,0,Аксель | 11064
,,,Каскад | Красный +2 | 6 stars | 130 | 172906,1674990,311174,304514,Бисквит | 7859,,Амира | Красный +2 | 6 stars | 130 | 196493,165711,402151,0,Бисквит | 11064
,,,Айзек | Красный +2 | 6 stars | 130 | 175019,1083205,248575,174628,Мара | 9860,,Каскад | Красный +2 | 6 stars | 130 | 158293,101333,443242,0,
,,,Тея | Красный +2 | 6 stars | 130 | 190902,331865,47963,75505,Аксель | 9461,,Полярис | Красный +2 | 6 stars | 130 | 167108,60334,446644,0,
,,,Дориан | Оранжевый | 6 stars | 130 | 41527,124584,184333,21656,,,Хайди | Красный +2 | 6 stars | 130 | 192599,13990,318609,0,Альбус | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 172945,120640,0,0,,,Оливер | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,194962,

Башня Алхимии (Позиция 2),Победа,+35,Оди (130-991464),,,,,,Hachi (130-1181612),Увеличение брони (48%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Цин Мао | Красный +2 | 6 stars | 130 | 196146,1213960,158073,0,Каин | 6949,,Хайди | Красный +2 | 6 stars | 130 | 208190,508572,388854,0,Бисквит | 11064
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 208913,958725,184033,301734,Мара | 9860,,Полярис | Красный +2 | 6 stars | 130 | 197194,394272,647715,0,Хорус | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 182702,871033,668939,164816,Фенрис | 7804,,Амира | Красный +2 | 6 stars | 130 | 202299,44872,472073,0,Аксель | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 198368,138575,195235,0,Альбус | 11064,,Астарот | Красный +2 | 6 stars | 130 | 202336,18050,1340258,179016,Оливер | 11064
,,,Йорген | Оранжевый | 6 stars | 130 | 50217,124184,139475,0,Аксель | 9461,,Небула | Красный +2 | 6 stars | 130 | 189650,11804,457577,117740,
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 155118,0,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,368185,0,0,

Призма эфира (Позиция 4),Победа,+35,2 718 (130-823082),,,,,,pphrla (130-879175),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 114 | 183066,13835560,4756260,784568,,,Гиперион | 6 stars | 130 | 191012,17857029,11834224,1509009,
,,,Ашерона и Пиро | 6 stars | 112 | 164690,13092452,6338724,0,,,Эдем | 6 stars | 130 | 191366,11891107,12467440,0,
,,,Молох | 6 stars | 126 | 167948,5008879,13507760,0,,,Авалон | 6 stars | 130 | 165480,2691575,12580434,0,
,,,Араджи | 6 stars | 115 | 165812,4366474,6746356,0,,,Сильва | 6 stars | 130 | 165802,2088930,10004470,0,
,,,Игнис | 6 stars | 101 | 141566,2909889,8467658,0,,,Ангус | 6 stars | 130 | 165515,1119117,16782782,0,
,,,Тотем Духа Огня | 5 stars | 122,26540596,0,1464000,,,Тотем Духа Земли | 3 stars | 100,4169000,2084500,0,

Казармы (Позиция 2),Победа,+35,Бальдр (130-945071),,,,,,Hal Ulala (130-992011),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 175161,1344594,192927,0,Мара | 4487,,Аврора | Красный +2 | 6 stars | 130 | 170005,4019005,2519632,0,
,,,Криста | Красный +2 | 6 stars | 130 | 140610,1089291,388596,0,Хорус | 4123,,Хайди | Красный +2 | 6 stars | 130 | 180156,282942,299655,9765,Аксель | 11064
,,,Каскад | Красный +2 | 6 stars | 130 | 157459,1040235,137144,0,Аксель | 11064,,Амира | Красный +2 | 6 stars | 130 | 172738,179534,499613,18659,
,,,Электра фон Грейв | Красный +2 | 6 stars | 130 | 150318,876041,3284508,398155,Оливер | 6894,,Дориан | Красный | 6 stars | 130 | 113532,173518,497616,1623561,Мерлин | 11064
,,,Гус | Красный +2 | 6 stars | 130 | 139580,0,866324,1026927,Фенрис | 6894,,Небула | Красный +2 | 6 stars | 130 | 173637,8944,533645,112726,
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,205556,0,0,

Алтарь Жизни (Позиция 2),Победа,+35,Bugzi (130-1056546),,,,,,masked ayame (130-1045367),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 225854,14436829,3978930,3497402,,,Брустар | 6 stars | 130 | 205751,9179813,14121547,0,
,,,Тенебрис | 6 stars | 130 | 220505,13574370,11623800,6382847,,,Тенебрис | 6 stars | 130 | 271125,5495572,11931016,4622441,
,,,Ригель | 6 stars | 130 | 213313,9979838,17257783,410268,,,Араджи | 6 stars | 130 | 200572,3315036,9828532,0,
,,,Ияри | 6 stars | 130 | 203230,3856373,4688331,1501839,,,Молох | 6 stars | 130 | 181383,2932267,12566518,0,
,,,Мор | 6 stars | 130 | 193644,1927412,6183414,0,,,Игнис | 6 stars | 130 | 186536,2226194,11302862,0,
,,,Тотем Духа Тьмы | 6 stars | 130,11113988,0,0,,,Тотем Духа Огня | 3 stars | 113,19161202,0,813600,
,,,Тотем Духа Света | 6 stars | 130,4861665,0,0,,,Тотем Духа Тьмы | 2 stars | 105,1422174,0,0,

Ратуша (Позиция 3),Победа,+35,Bugzi (130-1039584),,,,,,Alchemists (130-1059315),Усиление лечения (49%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Лара Крофт | Красный +2 | 6 stars | 130 | 199823,1480426,240082,627879,Векс | 6894,,Орион | Красный +2 | 6 stars | 130 | 197246,1619691,475623,0,Мерлин | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 166019,963062,176167,0,Альбус | 7580,,Селеста | Красный +2 | 6 stars | 130 | 138403,354368,558486,169529,
,,,Исмаил | Красный +2 | 6 stars | 130 | 191691,665207,106000,89209,Фенрис | 7804,,Дориан | Красный +2 | 6 stars | 130 | 166439,7794,638156,0,
,,,Лирия | Красный +2 | 6 stars | 130 | 174194,301995,742521,145048,Оливер | 6978,,Гелиос | Красный +2 | 6 stars | 130 | 168771,4968,643271,0,
,,,Эйден | Красный +2 | 6 stars | 130 | 160851,39477,729058,156067,Хорус | 11064,,Аврора | Красный +2 | 6 stars | 130 | 206513,4332,1134631,0,Каин | 11064
,,,Аксель | Фиолетовый +3 | 5 stars | 130 | 147006,0,0,0,,,Каин | Фиолетовый +3 | 6 stars | 130 | 181943,2675,0,0,

Ратуша (Позиция 2),Победа,+35,Bugzi (130-868409),,,,,,Oinari (130-1098491),Усиление лечения (49%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Айзек | Красный +2 | 6 stars | 130 | 159192,3285430,383853,0,Мара | 5766,,Криста | Красный +2 | 6 stars | 130 | 191892,1239395,1351714,344303,Мерлин | 11064
,,,Айрис | Красный +2 | 6 stars | 130 | 137956,2968683,215741,0,Альбус | 7580,,Каскад | Красный +2 | 6 stars | 130 | 173943,639375,552668,0,
,,,Джу | Красный +2 | 6 stars | 130 | 140755,767536,594805,105267,Векс | 6894,,Ларс | Красный +2 | 6 stars | 130 | 166388,314953,420189,0,
,,,Руфус | Красный +2 | 6 stars | 130 | 138410,447472,1041515,212000,Бисквит | 5766,,Амира | Красный +2 | 6 stars | 130 | 202299,165123,443844,0,Аксель | 11064
,,,Марта | Красный +2 | 6 stars | 130 | 145090,179546,253028,832115,Аксель | 8896,,Электра фон Грейв | Красный +2 | 6 stars | 130 | 182026,58564,4823562,0,Бисквит | 11064
,,,Аксель | Фиолетовый +3 | 5 stars | 130 | 147006,0,0,0,,,Каин | Фиолетовый +3 | 6 stars | 130 | 181943,14842,0,0,

Инженериум (Позиция 4),Победа,+35,viktori (130-881373),,,,,,Malalkree (130-1088033),Ускорение набора энергии (40%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Данте | Красный +2 | 6 stars | 130 | 192219,2420766,122818,0,Каин | 7870,,Корвус | Красный +2 | 6 stars | 130 | 199969,371008,968087,110640,Оливер | 11064
,,,Кира | Красный +2 | 6 stars | 130 | 161419,372624,277583,36206,Векс | 6894,,Фобос | Красный +2 | 6 stars | 130 | 199177,275828,534317,0,Хорус | 10588
,,,Себастьян | Красный +2 | 6 stars | 130 | 155599,343201,152768,0,Оливер | 6894,,Майя | Красный +2 | 6 stars | 130 | 178928,2786,505382,0,Альбус | 11064
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 168625,99272,76384,156781,Мара | 5471,,Йорген | Красный +2 | 6 stars | 130 | 149161,1755,826510,0,
,,,Джет | Оранжевый +4 | 6 stars | 130 | 75020,3210,21824,41969,Аксель | 7804,,Айзек | Красный +2 | 6 stars | 130 | 178855,0,409927,0,
,,,Каин | Фиолетовый +2 | 6 stars | 130 | 128491,5150,0,0,,,Оливер | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,22348,

Инженериум (Позиция 5),Победа,+35,viktori (130-842665),,,,,,Team 4919185 (130-1048941),Ускорение набора энергии (40%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 175501,1926826,165400,165400,Хорус | 6894,,Айрис | Красный +2 | 6 stars | 130 | 161043,809047,444923,0,Бисквит | 7903
,,,Август | Красный +2 | 6 stars | 130 | 170425,673343,151515,151515,Альбус | 6894,,Тесак | Красный +2 | 6 stars | 130 | 194384,200582,1285713,80835,
,,,Гелиос | Красный +2 | 6 stars | 130 | 111019,658231,174655,113527,Мерлин | 6484,,Безликий | Красный +2 | 6 stars | 130 | 164420,8384,474762,0,Мерлин | 5683
,,,Дориан | Красный +2 | 6 stars | 130 | 136044,3277,203686,2007,Аксель | 7804,,Джет | Красный +2 | 6 stars | 130 | 153073,6138,434630,103338,
,,,Небула | Красный +2 | 6 stars | 130 | 121548,0,328895,0,Каин | 7870,,Небула | Красный +2 | 6 stars | 130 | 194078,0,621649,0,Каин | 5683
,,,Аксель | Фиолетовый +2 | 6 stars | 130 | 128128,0,0,0,,,Оливер | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,22348,

Алтарь Жизни (Позиция 4),Победа,+35,viktori (130-852710),,,,,,Karn (130-1002505),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 192450,13139301,6985904,731799,,,Эдем | 6 stars | 130 | 188864,12611627,14086037,0,
,,,Тенебрис | 6 stars | 130 | 220299,12503516,6029463,3922889,,,Араджи | 6 stars | 130 | 185902,10341225,8400948,0,
,,,Гиперион | 6 stars | 130 | 125543,9187960,8558228,1089619,,,Солярис | 6 stars | 130 | 242859,10325424,12433458,1136900,
,,,Ригель | 6 stars | 130 | 153686,4863516,14159482,0,,,Гиперион | 6 stars | 130 | 163294,8390016,14834472,2874124,
,,,Керос | 6 stars | 130 | 160732,2746300,10436164,0,,,Тенебрис | 6 stars | 130 | 221586,4500949,12505862,4777016,
,,,Тотем Духа Тьмы | 6 stars | 106,17155820,0,1908000,,,,,,,
,,,Тотем Духа Света | 3 stars | 91,2664364,0,0,,,,,,,

Алтарь Жизни (Позиция 5),Поражение,+19,viktori (130-632822),,,,,,Alchemists (130-933608),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 123728,11021501,10387235,0,,,Араджи | 6 stars | 130 | 185902,12934006,5805004,0,
,,,Ашерона и Пиро | 5 stars | 130 | 130422,9701412,7748248,0,,,Эдем | 6 stars | 130 | 197107,9061674,4392105,0,
,,,Араджи | 6 stars | 130 | 169081,5779208,7211492,0,,,Гиперион | 6 stars | 130 | 186584,8125405,4119641,1378771,
,,,Сильва | 6 stars | 130 | 99680,2516129,8090285,0,,,Ангус | 6 stars | 130 | 197116,5728519,13851701,0,
,,,Вердок и Фито | 5 stars | 130 | 109911,1836223,9106807,0,,,Авалон | 6 stars | 130 | 166899,4268335,7943793,0,
,,,Тотем Духа Огня | 1 stars | 72,3847368,0,0,,,Тотем Духа Земли | 3 stars | 100,4188107,2113555,960000,
,,,Тотем Духа Земли | 3 stars | 90,3523958,1761979,0,,,,,,,

Инженериум (Позиция 1),Победа,+35,G_G (130-1035618),,,,,,Team suzu (130-1139250),Ускорение набора энергии (40%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Данте | Красный +2 | 6 stars | 130 | 193906,2528162,212604,0,Каин | 8518,,Судья | Красный +2 | 6 stars | 130 | 194284,669949,612739,83347,Хорус | 7334
,,,Джу | Красный +2 | 6 stars | 130 | 186378,657773,282521,0,Фенрис | 8529,,Галахад | Красный +2 | 6 stars | 130 | 203193,322056,999128,144916,Фенрис | 11064
,,,Айзек | Красный +2 | 6 stars | 130 | 163563,156149,180681,0,Оливер | 6484,,Лара Крофт | Красный +2 | 6 stars | 130 | 186906,232594,670714,151928,
,,,Дориан | Красный +2 | 6 stars | 130 | 167800,155814,220888,401569,Аксель | 9804,,Арахна | Красный +2 | 6 stars | 130 | 197892,8869,579434,7095,Аксель | 11064
,,,Август | Красный | 6 stars | 130 | 150812,92078,428261,54095,Хорус | 9467,,Тея | Красный +2 | 6 stars | 130 | 175032,0,726234,125930,Мерлин | 7334
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 173159,68648,0,0,,,Фенрис | Фиолетовый +3 | 6 stars | 130 | 181943,21112,0,0,

Алтарь Жизни (Позиция 5),Победа,+16,Rom (130-668193),,,,,,Alchemists (130-933608),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 100 | 136628,10835355,5731264,4742181,,,Эдем | 6 stars | 130 | 197107,12174334,8555335,0,
,,,Эдем | 6 stars | 130 | 183162,6726054,4100033,0,,,Араджи | 6 stars | 130 | 185902,9881580,2115328,0,
,,,Ангус | 6 stars | 130 | 133720,5824260,15085298,0,,,Гиперион | 6 stars | 130 | 186584,8128365,7954583,1378771,
,,,Вердок и Фито | 6 stars | 122 | 137561,1926862,3604295,0,,,Авалон | 6 stars | 130 | 166899,2625104,5744321,0,
,,,Авалон | 6 stars | 109 | 77122,1370152,4938267,0,,,Ангус | 6 stars | 130 | 197116,1819132,5047294,0,
,,,Тотем Духа Земли | 3 stars | 114,4887598,3186749,0,,,Тотем Духа Земли | 3 stars | 100,2017391,2153420,960000,

Алтарь Жизни,Укрепление захвачено,+175
Призма эфира (Позиция 5),Победа,+35,ПасТырЪ (130-900688),,,,,,masked ayame (130-902469),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Молох | 6 stars | 130 | 193967,12960906,11953813,0,,,Солярис | 6 stars | 130 | 237314,12047747,12214903,770980,
,,,Араджи | 6 stars | 115 | 171299,3544380,6595258,0,,,Эдем | 6 stars | 130 | 149610,8891720,12383441,0,
,,,Ашерона и Пиро | 6 stars | 130 | 190860,3401451,1426315,0,,,Гиперион | 6 stars | 129 | 141202,5591106,13654932,1227451,
,,,Игнис | 6 stars | 94 | 130109,1857480,7077920,0,,,Ригель | 6 stars | 130 | 175209,3046562,13948522,0,
,,,Ияри | 6 stars | 130 | 214453,1464813,10004727,2401627,,,Ияри | 6 stars | 130 | 199134,2508318,12370610,2926373,
,,,Тотем Духа Огня | 6 stars | 130,41343378,0,0,,,Тотем Духа Света | 3 stars | 91,4972580,0,0,

Инженериум (Позиция 2),Победа,+35,viktori (130-718238),,,,,,Team SA two 3 (130-1034885),Ускорение набора энергии (40%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Айрис | Красный +2 | 6 stars | 130 | 114304,4352927,150423,0,Альбус | 6894,,Йорген | Красный +2 | 6 stars | 130 | 170985,260098,2294949,63994,Оливер | 11064
,,,Ясмин | Красный +2 | 6 stars | 130 | 156645,1405515,124104,0,Каин | 7870,,Айзек | Красный +2 | 6 stars | 130 | 173025,177333,427612,0,Мара | 11064
,,,Корвус | Красный +2 | 6 stars | 130 | 160526,864347,127589,0,Бисквит | 5471,,Безликий | Красный +2 | 6 stars | 130 | 181294,137955,484805,0,Мерлин | 11064
,,,Айзек | Красный | 6 stars | 130 | 76234,268315,24042,0,Аксель | 7804,,Руфус | Красный +2 | 6 stars | 130 | 177510,124323,2479840,417240,Бисквит | 11064
,,,Морриган | Красный +1 | 6 stars | 130 | 92411,260932,290789,390882,Оливер | 6894,,Марта | Красный +2 | 6 stars | 130 | 150128,17238,1464830,477915,Аксель | 11064
,,,Оливер | Фиолетовый +2 | 5 stars | 130 | 118118,0,0,103032,,,Оливер | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,209290,

Инженериум (Позиция 3),Победа,+35,Лапочка (130-986518),,,,,,masked ayame (130-1009988),Ускорение набора энергии (40%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Ясмин | Красный +2 | 6 stars | 130 | 199876,1454182,234450,293609,Альбус | 11064,,Айрис | Красный +2 | 6 stars | 130 | 172985,886937,545426,0,
,,,Себастьян | Красный +2 | 6 stars | 130 | 144982,1051457,168794,0,,,Исмаил | Красный +2 | 6 stars | 130 | 161626,600424,560022,201006,Мара | 9428
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 164276,629115,149406,154512,Фенрис | 8518,,Электра фон Грейв | Красный +2 | 6 stars | 130 | 155193,304118,2475400,392038,Мерлин | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 164850,538374,754908,86324,Оливер | 6894,,Ясмин | Красный +2 | 6 stars | 130 | 174501,119160,410325,0,Каин | 4142
,,,Эйден | Красный +2 | 6 stars | 130 | 130591,196278,741843,192235,Хорус | 5766,,Лара Крофт | Красный +2 | 5 stars | 130 | 163740,70432,444992,0,
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,566759,0,0,,,Мерлин | Фиолетовый +3 | 6 stars | 130 | 181943,68330,0,0,

Инженериум,Укрепление захвачено,+235
Казармы (Позиция 1),Победа,+35,Лапочка (130-893775),,,,,,monologue (130-1125950),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Данте | Красный +2 | 6 stars | 130 | 195576,2368067,52596,0,Каин | 10154,,Ясмин | Красный +2 | 6 stars | 130 | 188807,52596,410325,0,
,,,Джет | Красный | 6 stars | 130 | 78904,4176,0,0,Аксель | 6099,,Кай | Красный +2 | 6 stars | 130 | 194721,1924,478433,0,Мерлин | 11064
,,,Марта | Красный +2 | 6 stars | 130 | 160066,2988,0,0,Оливер | 6894,,Морриган | Красный +2 | 6 stars | 130 | 185667,0,622035,0,
,,,Небула | Красный +2 | 6 stars | 130 | 162584,0,1924,0,,,Айзек | Красный +2 | 6 stars | 130 | 185071,0,439847,0,
,,,Фафнир | Красный +1 | 6 stars | 130 | 124712,0,0,0,Мара | 4123,,Амира | Красный +2 | 6 stars | 130 | 189741,0,424591,0,
,,,Каин | Фиолетовый +3 | 5 stars | 130 | 171933,0,0,0,,,Мерлин | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Ратуша (Позиция 1),Победа,+35,FEDOR (130-1107903),,,,,,kuralis (130-1159948),Усиление лечения (49%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 201063,1259001,0,0,Аксель | 11064,,Тристан | Красный +2 | 6 stars | 130 | 203313,82789,688455,0,Фенрис | 11064
,,,Данте | Красный +2 | 6 stars | 130 | 199959,1099202,99334,0,Каин | 11064,,Лирия | Красный +2 | 6 stars | 130 | 192479,8071,436505,0,Бисквит | 11064
,,,Август | Красный +2 | 6 stars | 130 | 181401,434942,0,0,Альбус | 9692,,Галахад | Красный +2 | 6 stars | 130 | 195156,5997,508584,4020,
,,,Дориан | Красный +2 | 6 stars | 130 | 158657,2316,0,0,Мерлин | 6319,,Тея | Красный +2 | 6 stars | 130 | 189863,2477,663347,0,
,,,Небула | Красный +2 | 6 stars | 130 | 184880,0,0,0,,,Полярис | Красный +2 | 6 stars | 130 | 197194,0,498570,0,Мара | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Ратуша (Позиция 4),Победа,+35,FEDOR (130-1086505),,,,,,RPG (130-1067377),Усиление лечения (49%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Исмаил | Красный +2 | 6 stars | 130 | 198506,3607622,402281,1419315,Фенрис | 8108,,Айрис | Красный +2 | 6 stars | 130 | 166889,3212522,568343,0,
,,,Себастьян | Красный +2 | 6 stars | 130 | 178136,2660198,678649,0,Альбус | 9692,,Амира | Красный +2 | 6 stars | 130 | 178343,2216683,655115,0,
,,,Лара Крофт | Красный +2 | 5 stars | 130 | 185929,1511276,631313,478253,Мара | 5063,,Эйден | Красный +2 | 6 stars | 130 | 178010,916260,3322722,765682,
,,,Эйден | Красный +2 | 6 stars | 130 | 173129,585159,2123760,478132,Хорус | 11064,,Аврора | Красный +2 | 6 stars | 130 | 203196,290781,3322722,0,Бисквит | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 184683,426593,2809536,286243,Оливер | 9428,,Марта | Красный +2 | 6 stars | 130 | 158996,9293,921946,1271534,
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 166122,0,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Ратуша,Укрепление захвачено,+235
Призма эфира (Позиция 2),Победа,+35,FEDOR (130-1080790),,,,,,Xzypher (130-959965),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 214637,9653064,10060278,1876945,,,Молох | 6 stars | 130 | 206868,7459335,11953813,0,
,,,Солярис | 6 stars | 130 | 260999,6714245,12899295,850034,,,Араджи | 6 stars | 130 | 206779,5047720,7440332,0,
,,,Маири | 6 stars | 130 | 187329,5757582,14383746,0,,,Вулкан | 6 stars | 130 | 206806,3501325,6593399,0,
,,,Нова | 6 stars | 130 | 208226,3621870,8565750,0,,,Эдем | 6 stars | 130 | 155016,3199461,10078088,0,
,,,Сигурд | 6 stars | 130 | 209599,2517672,13537441,0,,,Игнис | 6 stars | 130 | 184496,3083509,8539833,0,
,,,Тотем Духа Воды | 6 stars | 130,16341032,0,19259434,,,Тотем Духа Огня | 5 stars | 120,37155160,0,960000,

Врата Природы (Позиция 3),Поражение,+6,FEDOR (130-624717),,,,,,monologue (130-1190327),Снижение входящего урона (26%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 279735,8140815,10413754,3525125,,,Солярис | 6 stars | 130 | 302276,14873330,793585,2841597,
,,,Эдем | 6 stars | 110 | 90417,5038341,9581300,0,,,Эдем | 6 stars | 130 | 220795,13705246,4320636,0,
,,,Вердок и Фито | 5 stars | 100 | 75516,728702,6615619,0,,,Вердок и Фито | 6 stars | 130 | 204020,3275661,10049319,0,
,,,Ангус | 6 stars | 102 | 76606,358172,9443864,0,,,Ангус | 6 stars | 130 | 220804,0,0,0,
,,,Брустар | 6 stars | 110 | 102443,313111,8297511,0,,,Ияри | 6 stars | 130 | 242432,0,0,0,
,,,Тотем Духа Земли | 1 stars | 93,2323397,1254001,0,,,Тотем Духа Земли | 6 stars | 130,13751812,5555713,0,
,,,Тотем Духа Тьмы | 1 stars | 88,0,0,0,,,,,,,

Врата Природы (Позиция 3),Победа,+2,Santa (130-409813),,,,,,monologue (130-1190327),Снижение входящего урона (26%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 100 | 101053,894647,2393560,0,,,Эдем | 6 stars | 130 | 220795,11836357,3710327,0,
