Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
Бастион Льда (Позиция 4),Победа,+35,Hal Ulala (130-1034904),,,,,,3ve (130-941011),Ускорение набора энергии (42%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Брустар | 6 stars | 130 | 237559,12058127,20573169,835955,,,Эдем | 6 stars | 130 | 187269,20216591,21643454,0,
,,,Солярис | 6 stars | 130 | 239233,10370245,11827401,3201008,,,Гиперион | 6 stars | 130 | 189366,13348200,13705477,1959369,
,,,Керос | 6 stars | 130 | 215695,9377720,13200908,0,,,Маири | 6 stars | 130 | 176098,6570005,19058729,0,
,,,Ияри | 6 stars | 130 | 154929,2076357,5942286,1677056,,,Сигурд | 6 stars | 130 | 209838,6556358,24972575,0,
,,,Мор | 6 stars | 130 | 187488,2030952,14159574,0,,,Нова | 6 stars | 130 | 178440,5225315,8108593,0,
,,,Тотем Духа Тьмы | 6 stars | 130,37825939,0,3900000,,,Тотем Духа Воды | 6 stars | 130,17148087,0,28011824,
,,,Тотем Духа Света | 6 stars | 102,13749488,3361218,0,,,,,,,

Алтарь Жизни (Позиция 3),Поражение,+21,senngoku (130-883157),,,,,,Пунь Пунь (130-925359),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 247321,12014386,11104858,2377734,,,Тенебрис | 6 stars | 130 | 216564,24015357,7603430,6557816,
,,,Эдем | 6 stars | 120 | 139431,11295610,11107049,0,,,Маири | 6 stars | 130 | 169744,7040296,13664701,0,
,,,Гиперион | 6 stars | 120 | 148386,10933923,12999270,2114702,,,Нова | 6 stars | 130 | 181586,6390763,9859024,0,
,,,Солярис | 6 stars | 122 | 206802,10894766,11268243,596704,,,Сигурд | 6 stars | 130 | 162314,4563780,15172157,0,
,,,Араджи | 6 stars | 120 | 141217,5749420,7417699,0,,,Гиперион | 6 stars | 130 | 195151,2723728,3275062,1689356,
,,,,,,,,,Тотем Духа Воды | 5 stars | 115,9163195,1313731,9533250,

Бастион (Позиция 2),Победа,+35,senngoku (130-1132190),,,,,,Nergal (130-1065633),Увеличение защиты от магии (24%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Айзек | Красный +2 | 6 stars | 130 | 197628,2728002,228395,0,Оливер | 11064,,Орион | Красный +2 | 6 stars | 130 | 199686,1527078,558616,0,Мерлин | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 203138,424345,687515,0,Альбус | 11064,,Август | Красный +2 | 6 stars | 130 | 150051,653526,513890,0,Аксель | 4773
,,,Марта | Красный +2 | 6 stars | 130 | 195081,116935,580308,351452,Аксель | 9428,,Корвус | Красный +2 | 6 stars | 130 | 180638,18256,954337,0,Бисквит | 4773
,,,Майя | Красный +2 | 6 stars | 130 | 177374,116222,362520,118238,Бисквит | 9428,,Марта | Красный +2 | 6 stars | 130 | 168810,5743,854910,106658,
,,,Небула | Красный +2 | 6 stars | 130 | 189874,0,372100,140760,Каин | 11064,,Небула | Красный +2 | 6 stars | 130 | 184505,0,503751,149466,Каин | 4773
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 169095,0,0,0,,,Мерлин | Фиолетовый +3 | 6 stars | 130 | 181943,26235,0,0,

Академия Магов (Позиция 2),Победа,+25,senngoku (130-1022908),,,,,,Пунь Пунь (130-1047932),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Джу | Красный +2 | 6 stars | 130 | 201847,1168121,300003,0,Альбус | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 193926,826613,720647,230292,Альбус | 11064
,,,Селеста | Красный +2 | 6 stars | 130 | 167806,948709,120920,359140,Мерлин | 9428,,Эйден | Красный +2 | 6 stars | 130 | 185600,279888,2047924,302191,Хорус | 8546
,,,Хайди | Оранжевый +4 | 6 stars | 130 | 122423,804289,184974,0,Каин | 11064,,Лирия | Красный +2 | 6 stars | 130 | 169678,270394,2074990,165523,Оливер | 5419
,,,Корвус | Красный +2 | 6 stars | 130 | 200664,705648,1015723,210216,Оливер | 11064,,Ясмин | Красный +2 | 6 stars | 130 | 200947,0,0,0,Каин | 11064
,,,Фобос | Красный +2 | 6 stars | 130 | 148225,21193,0,1582,Аксель | 9428,,Лара Крофт | Красный +2 | 5 stars | 130 | 196655,0,0,0,Фенрис | 10154
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,1440326,0,0,,,Аксель | Фиолетовый +1 | 5 stars | 130 | 101126,0,0,0,

Академия Магов,Укрепление захвачено,+105
Инженериум (Позиция 5),Поражение,+9,senngoku (130-938500),,,,,,Бальдр (130-1114338),Ускорение набора энергии (16%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Ясмин | Красный +2 | 6 stars | 130 | 199393,445810,392645,0,Каин | 11064,,Джу | Красный +2 | 6 stars | 130 | 193569,1528517,882507,276382,Векс | 11064
,,,Данте | Красный +2 | 6 stars | 130 | 202134,387515,449732,0,Фенрис | 9428,,Айзек | Красный +2 | 6 stars | 130 | 168168,616504,514749,62046,Оливер | 6894
,,,Исмаил | Оранжевый +3 | 6 stars | 130 | 92024,380412,625374,306098,Оливер | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 199936,313378,258839,0,Альбус | 11064
,,,Лара Крофт | Красный +2 | 4 stars | 130 | 135497,215103,377892,0,Мара | 9428,,Небула | Красный +2 | 6 stars | 130 | 186562,21212,0,179076,Каин | 8518
,,,Лирия | Красный +1 | 6 stars | 130 | 127509,8448,680658,0,Бисквит | 9428,,Марта | Красный +2 | 6 stars | 130 | 184160,5171,252345,522370,Аксель | 11064
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,244755,0,0,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,267916,0,0,

Бастион (Позиция 5),Победа,+35,Malalkree (130-1109454),,,,,,Angel (130-1056659),Увеличение защиты от магии (24%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Корвус | Красный +2 | 6 stars | 130 | 199969,1908768,450180,0,Оливер | 11064,,Галахад | Красный +2 | 6 stars | 130 | 194972,1025149,1764415,626075,Оливер | 6894
,,,К'арх | Красный +2 | 6 stars | 130 | 169363,1309008,203329,125990,Мара | 11064,,Ясмин | Красный +2 | 6 stars | 130 | 197673,538289,403684,0,Каин | 6894
,,,Цин Мао | Красный +2 | 6 stars | 130 | 198079,671462,536090,0,Альбус | 11064,,К'арх | Красный +2 | 6 stars | 130 | 197791,76074,390261,0,Векс | 6894
,,,Джу | Красный +2 | 6 stars | 130 | 186070,610375,404762,0,Фенрис | 11064,,Лирия | Красный +2 | 6 stars | 130 | 169668,17104,1010767,1978,Фенрис | 6894
,,,Морриган | Красный +2 | 6 stars | 130 | 174030,121292,183816,198254,Аксель | 11064,,Астарот | Красный +2 | 6 stars | 130 | 178437,12234,942451,151945,Аксель | 6894
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Аксель | Фиолетовый +2 | 5 stars | 130 | 118118,0,0,0,

Бастион (Позиция 4),Победа,+35,Malalkree (130-1108837),,,,,,3ve (130-931920),Увеличение защиты от магии (24%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Аврора | Красный +2 | 6 stars | 130 | 205618,1766435,1188857,0,Каин | 11064,,Хайди | Красный +2 | 6 stars | 130 | 176766,1851469,486677,184286,
,,,Фобос | Красный +2 | 6 stars | 130 | 199854,388340,511969,15060,Альбус | 11064,,Аврора | Красный +2 | 6 stars | 130 | 156864,1004178,1010675,0,
,,,Астарот | Красный +2 | 6 stars | 130 | 189069,28924,485975,149218,Бисквит | 11064,,Данте | Красный +2 | 6 stars | 130 | 153809,1864,315567,0,Каин | 6074
,,,Йорген | Красный +2 | 6 stars | 130 | 161719,24380,1069969,0,Оливер | 11064,,Дориан | Красный +1 | 6 stars | 130 | 83721,448,316670,257,Мерлин | 4773
,,,Марта | Красный +2 | 6 stars | 130 | 170634,8477,468527,549007,Аксель | 11064,,Небула | Красный +2 | 6 stars | 130 | 178817,0,518311,64693,
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,431344,0,0,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,867338,0,0,

Казармы (Позиция 1),Победа,+35,Malalkree (130-1089152),,,,,,Старый (130-1047963),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Корнелиус | Красный +2 | 6 stars | 130 | 191029,2734585,580979,0,Аксель | 11064,,Джу | Красный +2 | 6 stars | 130 | 175282,1972475,1006150,67690,
,,,Галахад | Красный +2 | 6 stars | 130 | 162601,1432955,2374027,1633685,Оливер | 11064,,Исмаил | Красный +2 | 6 stars | 130 | 191981,1141620,1800667,602880,Мара | 2988
,,,Айзек | Красный +2 | 6 stars | 130 | 191412,1247031,510560,0,Мара | 11064,,Эйден | Красный +2 | 6 stars | 130 | 176722,264065,1800667,281815,Мерлин | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 183488,727776,590894,0,Альбус | 11064,,Марта | Красный +2 | 6 stars | 130 | 162524,44551,1082198,293744,Аксель | 10154
,,,Майя | Красный +2 | 6 stars | 130 | 178679,465264,450507,1245197,Бисквит | 11064,,Фафнир | Красный +2 | 6 stars | 130 | 159511,0,1010651,0,
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,1176978,0,0,

Бастион (Позиция 3),Поражение,+14,AKATUKI (130-959829),,,,,,ZOV (130-1045789),Увеличение защиты от магии (24%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Электра фон Грейв | Красный +1 | 6 stars | 130 | 150885,2296136,4843265,1122359,Оливер | 11064,,Исмаил | Красный +2 | 6 stars | 130 | 196875,2508719,748822,1429195,Фенрис | 6894
,,,Каскад | Красный +2 | 6 stars | 130 | 144610,1396648,693725,0,Хорус | 11064,,Лирия | Красный +2 | 6 stars | 130 | 181026,1957580,2024602,535690,Оливер | 6894
,,,Ларс | Красный +2 | 6 stars | 130 | 172723,1112784,555777,0,Мерлин | 11064,,Кира | Красный +2 | 6 stars | 130 | 179203,1645044,893925,630220,Векс | 5683
,,,Криста | Красный +2 | 6 stars | 130 | 175822,647716,704893,1526190,Аксель | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 173610,558394,557973,0,
,,,Орион | Красный +2 | 6 stars | 130 | 133846,618214,282668,0,Мара | 11064,,Эйден | Красный +2 | 6 stars | 130 | 170148,410591,1983010,348376,
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,136834,0,0,,,Аксель | Фиолетовый +3 | 5 stars | 130 | 144927,0,0,0,

Храм Солнца (Позиция 2),Победа,+35,kuralis (130-1268481),,,,,,Kamul27rus (130-1207856),Снижение входящего урона (26%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Солярис | 6 stars | 130 | 312498,11937695,10775260,1745165,,,Ригель | 6 stars | 130 | 225608,8720202,15728629,0,
,,,Араджи | 6 stars | 130 | 223814,8208770,7938833,0,,,Ияри | 6 stars | 128 | 190356,3751128,14724162,2497284,
,,,Ригель | 6 stars | 130 | 267419,5222020,15687101,0,,,Тенебрис | 6 stars | 130 | 302329,2969306,13798875,6115444,
,,,Игнис | 6 stars | 130 | 223863,3357380,9690285,0,,,Солярис | 6 stars | 130 | 302034,2196132,13417773,944260,
,,,Молох | 6 stars | 130 | 240887,2855023,13440347,0,,,Мор | 6 stars | 128 | 187529,1576551,15848168,0,
,,,Тотем Духа Огня | 6 stars | 130,41936719,0,0,,,Тотем Духа Тьмы | 5 stars | 130,0,0,0,
,,,Тотем Духа Света | 6 stars | 130,0,0,0,,,Тотем Духа Света | 6 stars | 130,38318507,0,0,

Храм Солнца (Позиция 4),Победа,+35,Oinari (130-1110939),,,,,,Bugzi (130-1070995),Снижение входящего урона (26%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 221826,23068803,5481253,0,,,Брустар | 6 stars | 130 | 208093,19527828,23967493,0,
,,,Ангус | 6 stars | 130 | 238661,20369709,18839545,0,,,Тенебрис | 6 stars | 130 | 220505,13861309,18180991,8360930,
,,,Сильва | 6 stars | 130 | 238582,12125447,3526627,0,,,Ригель | 6 stars | 130 | 213313,11283555,18272671,0,
,,,Авалон | 6 stars | 130 | 206896,5342084,13536125,0,,,Солярис | 6 stars | 130 | 225854,8122833,13249405,6241778,
,,,Вердок и Фито | 6 stars | 130 | 204974,5176865,7362196,0,,,Ияри | 6 stars | 130 | 203230,6649362,17412395,7881224,
,,,Тотем Духа Земли | 6 stars | 130,25000047,47738433,0,,,Тотем Духа Света | 6 stars | 130,8356785,0,0,
,,,,,,,,,Тотем Духа Тьмы | 6 stars | 130,36429576,0,0,

Храм Солнца,Укрепление захвачено,+200
Цитадель (Позиция 6),Победа,+35,Erwin (130-1072630),,,,,,3.14_ZDETS (130-1074815),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Электра фон Грейв | Красный +2 | 6 stars | 130 | 164684,2557700,1307947,388632,Оливер | 11064,,Исмаил | Красный +2 | 6 stars | 130 | 197457,362080,514410,22915,Фенрис | 6033
,,,Амира | Красный +2 | 6 stars | 130 | 196819,1167304,45353,0,Бисквит | 11064,,Лара Крофт | Красный +2 | 5 stars | 130 | 201107,348271,607636,115956,Векс | 4773
,,,Полярис | Красный +2 | 6 stars | 130 | 179666,345610,10013,0,Мара | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 194598,339464,620651,0,Альбус | 10154
,,,Йорген | Красный +2 | 6 stars | 130 | 175909,291257,32412,0,Аксель | 11064,,Лирия | Красный +2 | 6 stars | 130 | 168814,324880,1499396,26570,Оливер | 4773
,,,Гус | Красный +2 | 6 stars | 130 | 173609,0,117324,1068678,Фенрис | 11064,,Эйден | Красный +2 | 6 stars | 130 | 130896,138354,1474460,114765,Хорус | 11064
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,354682,0,0,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Ратуша (Позиция 3),Победа,+35,Erwin (130-1073513),,,,,,B.i.G (130-1090843),Усиление лечения (70%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Орион | Красный +2 | 6 stars | 130 | 189212,2136407,128304,128304,Мерлин | 11064,,Галахад | Красный +2 | 6 stars | 130 | 199746,642348,1398972,491382,Альбус | 10504
,,,Данте | Красный +2 | 6 stars | 130 | 199557,1306827,217869,0,Каин | 11064,,Джу | Красный +2 | 6 stars | 130 | 188234,95046,721198,0,Фенрис | 8518
,,,Август | Красный +2 | 6 stars | 130 | 178779,453617,135894,77789,Бисквит | 11064,,Себастьян | Красный +2 | 6 stars | 130 | 177544,7185,665999,126510,Оливер | 9188
,,,Дориан | Красный +2 | 6 stars | 130 | 164098,2829,116156,746,Аксель | 11064,,Небула | Красный +2 | 6 stars | 130 | 186668,4314,458281,0,Каин | 6894
,,,Небула | Красный +2 | 6 stars | 130 | 159924,0,135209,0,,,Марта | Красный +2 | 6 stars | 130 | 159788,1254,671945,5018,Аксель | 6960
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 178863,0,0,0,

Бастион Льда (Позиция 2),Поражение,+21,Alchemists (130-933608),,,,,,Rom (130-910931),Ускорение набора энергии (42%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 197107,27799757,13846211,0,,,Гиперион | 6 stars | 130 | 208555,18468896,15441861,5878107,
,,,Ангус | 6 stars | 130 | 197116,18216194,17520224,0,,,Араджи | 6 stars | 130 | 166767,13469259,9282319,0,
,,,Гиперион | 6 stars | 130 | 186584,14849123,12074224,2757542,,,Нова | 6 stars | 130 | 190528,7628902,13387141,0,
,,,Араджи | 6 stars | 130 | 185902,6087996,7440332,0,,,Сигурд | 6 stars | 130 | 200099,4429235,17264995,0,
,,,Авалон | 6 stars | 130 | 166899,4415894,13208114,0,,,Маири | 6 stars | 102 | 144982,1796700,10720490,0,
,,,Тотем Духа Земли | 3 stars | 100,2086296,4239272,480000,,,Тотем Духа Воды | 6 stars | 130,20718383,8567812,31089536,

Цитадель (Позиция 5),Поражение,+23,Alchemists (130-1173301),,,,,,Лапочка (130-985376),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Кира | Красный +2 | 6 stars | 130 | 197464,2656606,592639,149258,Альбус | 11064,,Лара Крофт | Красный +2 | 5 stars | 130 | 164042,1266536,477391,173825,Фенрис | 8518
,,,Корвус | Красный +2 | 6 stars | 130 | 201308,371233,1066327,0,Бисквит | 10154,,Себастьян | Красный +2 | 6 stars | 130 | 144850,1154012,393453,0,
,,,Лирия | Красный +2 | 6 stars | 130 | 186890,169195,1251232,55106,Оливер | 10154,,Ясмин | Красный +2 | 6 stars | 130 | 199876,872940,436918,338036,Альбус | 11064
,,,Себастьян | Красный +2 | 6 stars | 130 | 203138,153742,607737,0,Фенрис | 11064,,Лирия | Красный +2 | 6 stars | 130 | 164149,399897,1324675,254606,Оливер | 6894
,,,Морриган | Красный +2 | 6 stars | 130 | 202558,24652,638285,0,Аксель | 11064,,Эйден | Красный +2 | 6 stars | 130 | 130516,207346,1324675,197169,Хорус | 5766
,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,581684,0,0,,,Альбус | Фиолетовый +3 | 6 stars | 130 | 181943,255489,0,0,

Цитадель (Позиция 2),Победа,+35,The Suicide Kid (130-1103408),,,,,,3.14_ZDETS (130-1099114),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Данте | Красный +2 | 6 stars | 130 | 206282,1458574,282156,0,Каин | 11064,,Орион | Красный +2 | 6 stars | 130 | 198279,1424201,498443,0,Мерлин | 4635
,,,Себастьян | Красный +2 | 6 stars | 130 | 199388,424894,363299,0,Фенрис | 11064,,Август | Красный +2 | 6 stars | 130 | 179140,272104,532815,0,Бисквит | 4014
,,,Айзек | Красный +2 | 6 stars | 130 | 192663,311949,147114,28859,Аксель | 11064,,Айзек | Красный +2 | 6 stars | 130 | 157346,52923,339977,0,Аксель | 11064
,,,Лирия | Красный +2 | 6 stars | 130 | 182486,118901,629862,60741,Оливер | 11064,,Данте | Красный +2 | 6 stars | 130 | 200456,15108,439332,0,Каин | 10154
,,,Фафнир | Красный +2 | 6 stars | 130 | 140646,0,341905,0,Мара | 11064,,Небула | Красный +2 | 6 stars | 130 | 181950,0,503751,0,
,,,Оливер | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,24572,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,

Стрельбище (Позиция 3),Победа,+35,AKATUKI (130-1040775),,,,,,Wren (130-889480),Снижение входящего урона (15%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Данте | Красный +2 | 6 stars | 130 | 201883,1014639,34515,0,Каин | 11064,,Хайди | Красный +2 | 6 stars | 130 | 189310,226213,372394,0,
,,,Айзек | Красный +2 | 6 stars | 130 | 181514,651961,4445,80966,Мара | 11064,,Аврора | Красный +2 | 6 stars | 130 | 187466,117499,1121929,0,
,,,Лирия | Красный +2 | 6 stars | 130 | 192292,303626,328336,57610,Оливер | 11064,,Айзек | Красный +2 | 6 stars | 130 | 173257,101745,399379,1252,
,,,Себастьян | Красный +2 | 6 stars | 130 | 171851,286781,34515,0,Альбус | 11064,,Селеста | Красный +2 | 6 stars | 130 | 127986,67599,304687,0,
,,,Тея | Красный | 6 stars | 130 | 111292,49032,147603,277652,Мерлин | 11064,,Дориан | Фиолетовый +2 | 6 stars | 130 | 39528,918,131314,527,
,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 181943,23664,0,0,,,Каин | Фиолетовый +3 | 5 stars | 130 | 171933,35440,0,0,

Бастион Огня (Позиция 2),Поражение,+31,kuralis (130-1213994),,,,,,Лапочка (130-1042584),Увеличение здоровья (112%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 309529,26213446,22263851,10134228,,,Молох | 6 stars | 130 | 222874,25133080,28502048,0,
,,,Эдем | 6 stars | 130 | 218731,16686129,19341970,0,,,Араджи | 6 stars | 130 | 215032,23659456,17456928,0,
,,,Ангус | 6 stars | 130 | 235331,4884578,18839545,0,,,Игнис | 6 stars | 130 | 186202,8764621,18749714,0,
,,,Мор | 6 stars | 130 | 248290,4797195,16286885,335135,,,Солярис | 6 stars | 130 | 239757,8288661,25745054,4085261,
,,,Вердок и Фито | 6 stars | 130 | 202113,2557767,18166027,0,,,Ияри | 6 stars | 130 | 178719,3611898,13307882,0,
,,,Тотем Духа Земли | 6 stars | 130,8079952,11221449,0,,,Тотем Духа Огня | 6 stars | 130,29458546,0,0,
,,,Тотем Духа Тьмы | 6 stars | 130,40542559,0,0,,,Тотем Духа Света | 6 stars | 130,7203465,0,0,

Бастион Льда (Позиция 2),Поражение,0,TarzanAdy (130-698410),,,,,,Rom (130-910931),Ускорение набора энергии (42%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Ангус | 6 stars | 130 | 154695,9230825,14792225,0,,,Нова | 6 stars | 130 | 190528,11851042,7420642,0,
,,,Эдем | 6 stars | 130 | 155396,8455422,12809929,0,,,Гиперион | 6 stars | 130 | 208555,11217961,5662634,1959369,
,,,Араджи | 6 stars | 130 | 153491,4940112,7269338,0,,,Сигурд | 6 stars | 130 | 200099,6368397,9453773,0,
,,,Ригель | 6 stars | 130 | 121470,2787411,11519358,0,,,Араджи | 6 stars | 130 | 166767,0,0,0,
,,,Авалон | 6 stars | 130 | 113358,1274592,9806972,0,,,Маири | 6 stars | 102 | 144982,0,0,0,
,,,Тотем Духа Земли | 2 stars | 106,879648,1883943,801620,,,Тотем Духа Воды | 6 stars | 130,27361867,5030961,23926240,

Ратуша (Позиция 2),Победа,+35,kuralis (130-1179509),,,,,,Тема (130-1036085),Усиление лечения (70%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Криста | Красный +2 | 6 stars | 130 | 213439,1026660,241494,419214,Мерлин | 11064,,Орион | Красный +2 | 6 stars | 130 | 193500,1863770,836669,495981,Хорус | 9428
,,,Ларс | Красный +2 | 6 stars | 130 | 202365,811061,145818,0,Аксель | 11064,,Август | Красный +2 | 6 stars | 130 | 167581,703035,670759,262369,Альбус | 9428
,,,Каскад | Красный +2 | 6 stars | 130 | 191825,759855,16447,0,Хорус | 11064,,Данте | Красный +2 | 6 stars | 130 | 189866,156580,327207,0,Каин | 6963
,,,Электра фон Грейв | Красный +2 | 6 stars | 130 | 187601,107954,1607586,460666,Бисквит | 11064,,Дориан | Красный +2 | 6 stars | 130 | 157751,65423,477094,87505,Аксель | 8518
,,,Астарот | Красный +2 | 6 stars | 130 | 202336,16500,833316,215696,Оливер | 11064,,Небула | Красный +2 | 6 stars | 130 | 173946,0,410301,0,
,,,Аксель | Фиолетовый +3 | 6 stars | 130 | 181943,0,0,0,,,Хорус | Фиолетовый +3 | 6 stars | 130 | 153441,55853,0,0,

Бастион Льда (Позиция 1),Поражение,+6,NC750X (130-700178),,,,,,Оди (130-1143347),Ускорение набора энергии (42%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Сильва | 6 stars | 117 | 126622,4721095,7612614,0,,,Тенебрис | 6 stars | 130 | 293463,29339840,9274891,3563391,
,,,Эдем | 6 stars | 130 | 155462,3689667,10353022,0,,,Гиперион | 6 stars | 130 | 207522,16119189,6769007,1959369,
,,,Авалон | 6 stars | 117 | 129532,2458043,9473958,0,,,Сигурд | 6 stars | 130 | 204158,0,0,0,
,,,Араджи | 6 stars | 130 | 145930,1821301,6396512,0,,,Нова | 6 stars | 130 | 207523,0,0,0,
,,,Ангус | 6 stars | 117 | 142632,1500332,11221308,0,,,Мор | 6 stars | 130 | 230681,0,0,0,
,,,Тотем Духа Земли | 2 stars | 85,1853460,1328345,0,,,,,,,

Алтарь Жизни (Позиция 3),Победа,+14,Malalkree (130-794121),,,,,,Пунь Пунь (130-925359),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 201283,7437358,5061407,1482879,,,Тенебрис | 6 stars | 130 | 216564,22904338,12314546,4826395,
,,,Тенебрис | 6 stars | 130 | 200400,7144733,2670549,3085889,,,Гиперион | 6 stars | 130 | 195151,8976484,12515213,455411,
,,,Нова | 6 stars | 130 | 138472,3103671,7751218,0,,,Маири | 6 stars | 130 | 169744,910094,2157259,0,
,,,Сигурд | 6 stars | 130 | 168525,1994512,10212156,0,,,Сигурд | 6 stars | 130 | 162314,0,0,0,
,,,Маири | 6 stars | 130 | 85441,1787140,7052708,0,,,Нова | 6 stars | 130 | 181586,0,0,0,
,,,Тотем Духа Воды | 2 stars | 92,5519604,1010562,2311980,,,,,,,

Алтарь Жизни,Укрепление захвачено,+175
Бастион Огня (Позиция 2),Победа,+4,Team ichi (130-1031805),,,,,,Лапочка (130-1042584),Увеличение здоровья (112%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 130 | 178118,4727691,967498,0,,,Игнис | 6 stars | 130 | 186202,4283171,4979711,0,
,,,Тенебрис | 6 stars | 130 | 245593,3897369,0,0,,,Ияри | 6 stars | 130 | 178719,3028268,10053091,3386243,
,,,Гиперион | 6 stars | 130 | 183733,2550120,0,1485906,,,Молох | 6 stars | 130 | 222874,0,0,0,
,,,Солярис | 6 stars | 130 | 247047,1963324,6343941,727632,,,Араджи | 6 stars | 130 | 215032,0,0,0,
,,,Эдем | 6 stars | 130 | 177314,1894298,0,0,,,Солярис | 6 stars | 130 | 239757,0,0,0,

Казармы (Позиция 2),Победа,+35,The Suicide Kid (130-1076555),,,,,,Kamul27rus (130-1048470),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство,,,Нанесённый урон,Полученный урон,Исцеление,Покровительство
,,,Айрис | Красный +2 | 6 stars | 130 | 182820,2004361,627363,312237,Альбус | 11064,,Орион | Красный +2 | 6 stars | 130 | 186920,1313099,450077,0,Хорус | 6916
