Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
,,,Брустар | 6 stars | 130 | 195811,1254828,14873896,0,,,Молох | 6 stars | 130 | 193967,0,0,0,
,,,Тотем Духа Тьмы | 4 stars | 130,4764996,0,0,,,Тотем Духа Света | 6 stars | 130,14339850,0,0,
,,,,,,,,,Тотем Духа Огня | 6 stars | 130,0,0,0,

Врата Природы (Позиция 3),Победа,+35,Erwin (130-1216886),,,,,,Ваван (130-1070557),Снижение входящего урона (28%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 318290,11370833,10564722,8975467,,,Эдем | 6 stars | 130 | 138611,12741150,18018646,0,
,,,Керос | 6 stars | 130 | 227173,7288563,14483657,1179794,,,Амон | 6 stars | 130 | 177807,7738509,7873682,0,
,,,Мор | 6 stars | 130 | 225239,2867427,16246147,223234,,,Солярис | 6 stars | 130 | 306657,7693936,16388259,770980,
,,,Брустар | 6 stars | 130 | 250851,2410725,17250869,17696,,,Ригель | 6 stars | 130 | 205601,4676666,13213435,0,
,,,Араджи | 6 stars | 130 | 195333,2240154,8301990,0,,,Ияри | 6 stars | 130 | 241881,4374097,16301325,4002710,
,,,Тотем Духа Тьмы | 6 stars | 130,45617645,12372334,0,,,Тотем Духа Света | 6 stars | 130,41995361,0,11207606,

Врата Природы (Позиция 4),Поражение,+28,pphrla (130-1071826),,,,,,Бальдр (130-973759),Снижение входящего урона (28%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 130 | 217626,24861517,7440332,0,,,Эдем | 6 stars | 120 | 196443,10750307,23098094,0,
,,,Ашерона и Пиро | 6 stars | 130 | 201160,10564299,9779058,0,,,Сильва | 6 stars | 120 | 187671,9142521,11020949,0,
,,,Игнис | 6 stars | 130 | 217673,9958595,9773271,0,,,Вердок и Фито | 6 stars | 120 | 198538,2854089,21055661,0,
,,,Вулкан | 6 stars | 130 | 217652,9748429,6593399,0,,,Авалон | 6 stars | 118 | 180769,2093360,15457900,0,
,,,Молох | 6 stars | 130 | 217715,3633546,11953814,0,,,Ангус | 6 stars | 120 | 210338,854070,17443562,0,
,,,Тотем Духа Огня | 6 stars | 130,51286193,6682893,0,,,Тотем Духа Земли | 6 stars | 130,21885544,24851929,28313984,

Врата Природы (Позиция 2),Победа,+35,Xzypher (130-959965),,,,,,Rom (130-668193),Снижение входящего урона (28%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Вулкан | 6 stars | 130 | 206806,14053776,6593399,0,,,Тенебрис | 6 stars | 100 | 136628,14416488,11139654,4045848,
,,,Араджи | 6 stars | 130 | 206779,13906097,1891609,0,,,Эдем | 6 stars | 130 | 183162,8814799,15099904,0,
,,,Молох | 6 stars | 130 | 206868,12267139,12433813,0,,,Вердок и Фито | 6 stars | 122 | 137561,1043927,11891194,0,
,,,Эдем | 6 stars | 130 | 155016,5600015,5210679,0,,,Авалон | 6 stars | 109 | 77122,959479,8491963,0,
,,,Игнис | 6 stars | 130 | 184496,2697768,0,0,,,Ангус | 6 stars | 130 | 133720,894807,15085298,0,
,,,Тотем Духа Огня | 5 stars | 120,15772739,0,480000,,,Тотем Духа Земли | 3 stars | 114,0,2589521,0,

Врата Природы (Позиция 4),Победа,+7,juuza (130-609993),,,,,,Бальдр (130-973759),Снижение входящего урона (28%),,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 130 | 134302,4351817,448544,0,,,Сильва | 6 stars | 120 | 187671,4904890,11984514,0,
,,,Молох | 6 stars | 130 | 101076,3522975,3124180,0,,,Эдем | 6 stars | 120 | 196443,1163022,2272741,0,
,,,Гиперион | 6 stars | 130 | 129942,2143494,1419626,1149566,,,Ангус | 6 stars | 120 | 210338,0,0,0,
,,,Ашерона и Пиро | 5 stars | 107 | 94735,1943430,516617,0,,,Вердок и Фито | 6 stars | 120 | 198538,0,0,0,
,,,Солярис | 6 stars | 130 | 149938,1686484,558945,491765,,,Авалон | 6 stars | 118 | 180769,0,0,0,
,,,Тотем Духа Огня | 1 stars | 82,609055,0,262400,,,,,,,

Источник Стихий (Позиция 3),Поражение,+17,Karn (130-931937),,,,,,Старый (130-890745),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Тенебрис | 6 stars | 130 | 227738,15392620,13110845,5590712,,,Нова | 6 stars | 130 | 203534,11526127,13015797,0,
